# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         3981.07     4.91692e-29     4.91692e-29     4.91692e-29
          5411.7     1.43999e-29     1.43999e-29     1.43999e-29
         7356.42     4.21722e-30     4.21722e-30     4.21722e-30
           10000     1.23507e-30     1.23507e-30     1.23507e-30
         13593.6     3.61709e-31     3.61709e-31     3.61709e-31
         18478.5     1.05932e-31     1.05932e-31     1.05932e-31
         25118.9     3.10237e-32     3.10237e-32     3.10237e-32
         34145.5     9.08573e-33     9.08573e-33     9.08573e-33
         46415.9     2.66089e-33     2.66089e-33     2.66089e-33
         63095.7     7.79279e-34     7.79279e-34     7.79279e-34
         85769.6     2.28223e-34     2.28223e-34     2.28223e-34
          116591     6.68385e-35     6.68385e-35     6.68385e-35
          158489     1.95746e-35     1.95746e-35     1.95746e-35
          215443     5.73271e-36     5.73271e-36     5.73271e-36
          292864     1.67891e-36     1.67891e-36     1.67891e-36
          398107     4.91692e-37     4.91692e-37     4.91692e-37
          541170     1.43999e-37     1.43999e-37     1.43999e-37
          735642     4.21722e-38     4.21722e-38     4.21722e-38
           1e+06     1.23507e-38     1.23507e-38     1.23507e-38
     1.35936e+06     3.61709e-39     3.61709e-39     3.61709e-39
     1.84785e+06     1.05932e-39     1.05932e-39     1.05932e-39
     2.51189e+06     3.10237e-40     3.10237e-40     3.10237e-40
     3.41455e+06     9.08573e-41     9.08573e-41     9.08573e-41
     4.64159e+06     2.66089e-41     2.66089e-41     2.66089e-41
     6.30957e+06     7.79279e-42     7.79279e-42     7.79279e-42
     8.57696e+06     2.28223e-42     2.28223e-42     2.28223e-42
     1.16591e+07     6.68385e-43     6.68385e-43     6.68385e-43
     1.58489e+07     1.95746e-43     1.95746e-43     1.95746e-43
     2.15443e+07     5.73271e-44     5.73271e-44     5.73271e-44
     2.92864e+07     1.67891e-44     1.67891e-44     1.67891e-44
     3.98107e+07     4.91692e-45     4.91692e-45     4.91692e-45
      5.4117e+07     1.43999e-45     1.43999e-45     1.43999e-45
     7.35642e+07     4.21722e-46     4.21722e-46     4.21722e-46
           1e+08     1.23507e-46     1.23507e-46     1.23507e-46
     1.35936e+08     3.61709e-47     3.61709e-47     3.61709e-47
     1.84785e+08     1.05932e-47     1.05932e-47     1.05932e-47
     2.51189e+08     3.10237e-48     3.10237e-48     3.10237e-48
     3.41455e+08     9.08573e-49     9.08573e-49     9.08573e-49
     4.64159e+08     2.66089e-49     2.66089e-49     2.66089e-49
     6.30957e+08     7.79279e-50     7.79279e-50     7.79279e-50
     8.57696e+08     2.28223e-50     2.28223e-50     2.28223e-50
     1.16591e+09     6.68385e-51     6.68385e-51     6.68385e-51
     1.58489e+09     1.95746e-51     1.95746e-51     1.95746e-51
     2.15443e+09     5.73271e-52     5.73271e-52     5.73271e-52
     2.92864e+09     1.67891e-52     1.67891e-52     1.67891e-52
     3.98107e+09     4.91692e-53     4.91692e-53     4.91692e-53
      5.4117e+09     1.43999e-53     1.43999e-53     1.43999e-53
     7.35642e+09     4.21722e-54     4.21722e-54     4.21722e-54
